id,row_type,name,creator_or_platform,url,evidence_url,font_type,category,license_signal,commercial_use,attribution_required,redistribution_note,download_requires_signup,audit_status,risk_notes,best_for,last_checked,engine_note_unity,engine_note_godot,engine_note_unreal,license_file_required,reserved_font_name_risk,logo_use_warning,glyph_coverage_note,recommended_for,avoid_for
F001,font_source,GGBotNet Fonts CC0 All-in-1,GGBotNet,https://ggbot.itch.io/ggbotnet-fonts-cc0,https://ggbot.itch.io/ggbotnet-fonts-cc0,font bundle,pixel/retro,CC0 signal on source page,yes,no,"CC0 allows broad reuse, but link original source and do not imply ownership.",no,verified_page_signal,Good CC0 baseline source; verify individual files before bundling a shipped game.,game UI and jam prototypes,2026-06-02,Import as project font asset; keep source URL in project audit log.,Import as font resource; keep source URL in project audit log.,Import/package with project UI assets; keep source URL in project audit log.,"not required by CC0 signal, but keep source evidence in audit docs",low based on CC0 signal; still avoid implying creator endorsement,CC0 permission is not trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,game UI and jam prototypes,shipping without checking exact downloaded files
F002,font_source,Home Video Font CC0,GGBotNet,https://ggbot.itch.io/home-video-font,https://ggbot.itch.io/home-video-font,display font,pixel/retro,CC0 signal on source page,yes,no,"CC0 allows broad reuse, but link original source and do not imply ownership.",no,verified_page_signal,Retro display style; check readability before using for body UI.,retro VHS style game UI,2026-06-02,Import as project font asset; keep source URL in project audit log.,Import as font resource; keep source URL in project audit log.,Import/package with project UI assets; keep source URL in project audit log.,"not required by CC0 signal, but keep source evidence in audit docs",low based on CC0 signal; still avoid implying creator endorsement,CC0 permission is not trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,retro VHS style game UI,body text and small UI
F003,font_source,Public Pixel Font CC0,GGBotNet,https://ggbot.itch.io/public-pixel-font,https://ggbot.itch.io/public-pixel-font,pixel font,pixel/retro,CC0 signal on source page,yes,no,"CC0 allows broad reuse, but link original source and do not imply ownership.",no,verified_page_signal,Strong pixel-game candidate; check glyph coverage for localization.,pixel games and UI,2026-06-02,Import as project font asset; keep source URL in project audit log.,Import as font resource; keep source URL in project audit log.,Import/package with project UI assets; keep source URL in project audit log.,"not required by CC0 signal, but keep source evidence in audit docs",low based on CC0 signal; still avoid implying creator endorsement,CC0 permission is not trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,pixel games and UI,non-pixel UI systems
F004,font_source,First Time Writing Font CC0,GGBotNet,https://ggbot.itch.io/first-time-writing-font,https://ggbot.itch.io/first-time-writing-font,handwritten font,display/title,CC0 signal on source page,yes,no,"CC0 allows broad reuse, but link original source and do not imply ownership.",no,verified_page_signal,Handwritten style can harm readability; test in target resolution.,dialogue and handwritten UI,2026-06-02,Import as project font asset; keep source URL in project audit log.,Import as font resource; keep source URL in project audit log.,Import/package with project UI assets; keep source URL in project audit log.,"not required by CC0 signal, but keep source evidence in audit docs",low based on CC0 signal; still avoid implying creator endorsement,CC0 permission is not trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,dialogue and handwritten UI,small HUD labels
F005,font_source,Inter,Google Fonts / Inter Project,https://fonts.google.com/specimen/Inter,https://raw.githubusercontent.com/google/fonts/main/ofl/inter/OFL.txt,sans UI font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,"Very strong UI font; practical for menus, settings screens, tools, and readable in-game overlays.","clean game UI, tools, menus",2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,"clean game UI, tools, menus",dense retro title typography
F006,font_source,Open Sans,Google Fonts / Open Sans Project,https://fonts.google.com/specimen/Open+Sans,https://raw.githubusercontent.com/google/fonts/main/ofl/opensans/OFL.txt,sans UI font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,"General-purpose UI font; common look, but reliable for body copy and documentation-heavy UI.","menus, subtitles, docs",2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,"menus, subtitles, docs",distinctive title/logo work
F007,font_source,Lato,Google Fonts / tyPoland / Lato Project,https://fonts.google.com/specimen/Lato,https://raw.githubusercontent.com/google/fonts/main/ofl/lato/OFL.txt,sans UI font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Readable interface text; check style fit for fantasy or retro games.,menus and HUD labels,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,menus and HUD labels,pixel-perfect retro UI
F008,font_source,Montserrat,Google Fonts / Montserrat Project,https://fonts.google.com/specimen/Montserrat,https://raw.githubusercontent.com/google/fonts/main/ofl/montserrat/OFL.txt,geometric sans font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Good headings; can be wide for compact HUD text.,"titles, menus, store pages",2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,"titles, menus, store pages",small dense HUD labels
F009,font_source,Merriweather,Google Fonts / Merriweather Project,https://fonts.google.com/specimen/Merriweather,https://raw.githubusercontent.com/google/fonts/main/ofl/merriweather/OFL.txt,serif font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Useful for lore/dialogue; serif details may blur at small pixel sizes.,"lore, dialogue, readable text",2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,"lore, dialogue, readable text",tiny HUD labels
F010,font_source,Source Sans 3,Google Fonts / Adobe / Source Sans Project,https://fonts.google.com/specimen/Source+Sans+3,https://raw.githubusercontent.com/google/fonts/main/ofl/sourcesans3/OFL.txt,sans UI font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Adobe-related reserved-name/trademark wording deserves care if modifying.,"tool UI, menus, readable text",2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,yes - review OFL Reserved Font Name wording before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,"tool UI, menus, readable text",modified derivative without naming review
F011,font_source,Noto Sans,Google Fonts / Noto Project,https://fonts.google.com/specimen/Noto+Sans,https://raw.githubusercontent.com/google/fonts/main/ofl/notosans/OFL.txt,multilingual sans font,multilingual/fallback,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Good baseline for multilingual fallback; choose exact Noto family for target script.,multilingual UI fallback,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,multilingual UI fallback,stylized title-only use
F012,font_source,Press Start 2P,Google Fonts / Press Start 2P Project,https://fonts.google.com/specimen/Press+Start+2P,https://raw.githubusercontent.com/google/fonts/main/ofl/pressstart2p/OFL.txt,pixel display font,pixel/retro,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Iconic pixel style but poor for long paragraphs.,retro title screens,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,retro title screens,long dialogue/body copy
F013,font_source,Silkscreen,Google Fonts / Silkscreen Project,https://fonts.google.com/specimen/Silkscreen,https://raw.githubusercontent.com/google/fonts/main/ofl/silkscreen/OFL.txt,pixel display font,pixel/retro,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Compact pixel UI candidate; test at small sizes.,pixel HUD labels,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,pixel HUD labels,long readable paragraphs
F014,font_source,VT323,Google Fonts / VT323 Project,https://fonts.google.com/specimen/VT323,https://raw.githubusercontent.com/google/fonts/main/ofl/vt323/OFL.txt,terminal display font,terminal/monospace,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Strong terminal/CRT flavor; not suitable for all UI text.,"terminal, hacking, retro UI",2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,"terminal, hacking, retro UI",general menu body text
F015,font_source,Inconsolata,Google Fonts / Inconsolata Project,https://fonts.google.com/specimen/Inconsolata,https://raw.githubusercontent.com/google/fonts/main/ofl/inconsolata/OFL.txt,monospace font,terminal/monospace,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Good for debug UI and code-like text; less expressive for fantasy themes.,"debug UI, terminal text",2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,"debug UI, terminal text",fantasy/dialogue immersion
F016,font_source,Fira Code,Google Fonts / Fira Code Project,https://fonts.google.com/specimen/Fira+Code,https://raw.githubusercontent.com/google/fonts/main/ofl/firacode/OFL.txt,monospace coding font,terminal/monospace,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Useful for dev tools and in-game terminals; ligatures may be unnecessary in games.,"terminal UI, dev tools",2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,"terminal UI, dev tools",non-code dialogue
F017,font_source,Rubik,Google Fonts / Rubik Project,https://fonts.google.com/specimen/Rubik,https://raw.githubusercontent.com/google/fonts/main/ofl/rubik/OFL.txt,rounded sans font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Friendly UI tone; check weights for target platform.,casual game menus,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,casual game menus,serious simulation tone
F018,font_source,Bangers,Google Fonts / Bangers Project,https://fonts.google.com/specimen/Bangers,https://raw.githubusercontent.com/google/fonts/main/ofl/bangers/OFL.txt,comic display font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,High-energy display face; use sparingly and test readability.,"arcade titles, comic UI",2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,"arcade titles, comic UI",body text and localization-heavy UI
F019,font_source,Creepster,Google Fonts / Font Diner,https://fonts.google.com/specimen/Creepster,https://raw.githubusercontent.com/google/fonts/main/ofl/creepster/OFL.txt,horror display font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Strong horror flavor; reserved-name wording should be kept in mind if modifying.,horror title screens,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,yes - review OFL Reserved Font Name wording before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,horror title screens,general UI labels
F020,font_source,Fredoka,Google Fonts / Fredoka Project,https://fonts.google.com/specimen/Fredoka,https://raw.githubusercontent.com/google/fonts/main/ofl/fredoka/OFL.txt,rounded sans font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Friendly rounded UI option; good for casual games.,casual UI and menus,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,casual UI and menus,gritty/serious atmosphere
F021,font_source,Audiowide,Google Fonts / Astigmatic,https://fonts.google.com/specimen/Audiowide,https://raw.githubusercontent.com/google/fonts/main/ofl/audiowide/OFL.txt,wide techno display font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Wide sci-fi display style; poor fit for dense text.,sci-fi titles,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,sci-fi titles,small HUD labels
F022,font_source,Orbitron,Google Fonts / Orbitron Project,https://fonts.google.com/specimen/Orbitron,https://raw.githubusercontent.com/google/fonts/main/ofl/orbitron/OFL.txt,sci-fi display font,display/title,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,Useful sci-fi display family; test readability for numbers.,sci-fi HUD and titles,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,sci-fi HUD and titles,large paragraphs
F023,font_source,Rajdhani,Google Fonts / Indian Type Foundry,https://fonts.google.com/specimen/Rajdhani,https://raw.githubusercontent.com/google/fonts/main/ofl/rajdhani/OFL.txt,condensed sans font,readable UI/body,SIL Open Font License file in google/fonts,yes,no,"If distributing the font file, include the OFL license/copyright notice and respect reserved font name terms.",no,verified_license_file,"Condensed UI option; useful when space is tight, but test legibility.",HUD labels and menus,2026-06-02,"Include font asset/license in project records; if bundling raw font, keep OFL text with source/audit docs.","If importing as DynamicFont/FontFile, keep source URL and OFL evidence in project docs.","If packaging font assets, record OFL evidence and avoid renaming modified fonts under a reserved name.",yes when redistributing/bundling the font file,possible - check OFL text before modifying,Font license is not a trademark clearance; review logo/brand use separately.,Check target languages/scripts and fallback font behavior before shipping.,HUD labels and menus,long text at very small sizes
