starter_bucket,game_jam_role,name,creator_or_platform,asset_type,url,license_family,license_signal,commercial_use,attribution_required,download_requires_signup,evidence_level,evidence_url,last_checked,risk_notes,best_for,public_claim
2D,Prototype a 2D platformer level.,Abstract Platformer,Kenney,2D platformer tiles/characters,https://kenney.nl/assets/abstract-platformer,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/abstract-platformer,2026-05-27,Low risk; broad platformer category,Platformer prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
2D,Fill a common prototype slot.,Light Masks,Kenney,2D VFX/light masks,https://kenney.nl/assets/light-masks,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/light-masks,2026-05-27,Page-level CC0 signal found,Lighting/VFX,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
2D,Fill a common prototype slot.,Physics Assets,Kenney,2D physics blocks/shapes,https://kenney.nl/assets/physics-assets,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/physics-assets,2026-05-27,Good for puzzle/physics games,Physics prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
2D,Prototype a 2D platformer level.,Pixel Platformer,Kenney,2D pixel platformer,https://kenney.nl/assets/pixel-platformer,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/pixel-platformer,2026-05-27,Useful for jams,Pixel platformers,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
2D,Prototype a 2D platformer level.,Platformer Art Extended Enemies,Kenney,2D platformer enemies,https://kenney.nl/assets/platformer-art-extended-enemies,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/platformer-art-extended-enemies,2026-05-27,Supplement to platformer packs,Enemy placeholders,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
3D,Block out a 3D prototype scene.,Car Kit,Kenney,3D cars,https://kenney.nl/assets/car-kit,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/car-kit,2026-05-27,Page-level CC0 signal found,Vehicle prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
3D,Block out a 3D prototype scene.,Cube Pets,Kenney,3D cube animal/pet assets,https://kenney.nl/assets/cube-pets,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/cube-pets,2026-05-27,Page-level CC0 signal found,Cute prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
3D,Block out a 3D prototype scene.,Factory Kit,Kenney,3D factory kit,https://kenney.nl/assets/factory-kit,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/factory-kit,2026-05-27,Page-level CC0 signal found,3D industrial scenes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
3D,Block out a 3D prototype scene.,Modular Dungeon Kit,Kenney,3D modular dungeon,https://kenney.nl/assets/modular-dungeon-kit,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/modular-dungeon-kit,2026-05-27,Page-level CC0 signal found,Dungeon prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
3D,Block out a 3D prototype scene.,PSX Style Cars,GGBotNet,3D cars and SFX,https://ggbot.itch.io/psx-style-cars,CC0/public-domain signal,Listing says CC0/free 3D car pack,yes,no,no,page_level_signal,https://ggbot.itch.io/psx-style-cars,2026-05-27,Good PSX/retro niche,Retro 3D vehicles,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
3D,Block out a 3D prototype scene.,Pirate Kit,Kenney,3D pirate assets,https://kenney.nl/assets/pirate-kit,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/pirate-kit,2026-05-27,Page-level CC0 signal found,Pirate prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
3D,Prototype a 2D platformer level.,Platformer Kit,Kenney,3D platformer kit,https://kenney.nl/assets/platformer-kit,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/platformer-kit,2026-05-27,Page-level CC0 signal found,3D platformers,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
3D,"Fill backgrounds, materials, placeholders, or particles.",Photorealistic Texture Pack 1,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/photorealistic-texture-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/photorealistic-texture-pack,2026-05-27,Check style quality per project,3D/2D textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
3D,"Fill backgrounds, materials, placeholders, or particles.",Photorealistic Texture Pack 2,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/photorealistic-texture-pack-2,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/photorealistic-texture-pack-2,2026-05-27,Check style quality per project,3D/2D textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Fonts,Pick a readable UI/title font.,First Time Writing Font CC0,GGBotNet,font,https://ggbot.itch.io/first-time-writing-font,CC0/public-domain signal,Title/listing says CC0,yes,no,no,page_level_signal,https://ggbot.itch.io/first-time-writing-font,2026-05-27,Good multilingual support,Handwritten fonts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Fonts,Pick a readable UI/title font.,GGBotNet Fonts CC0 All-in-1,GGBotNet,fonts,https://ggbot.itch.io/ggbotnet-fonts-cc0,CC0/public-domain signal,Creative Commons Zero v1.0 Universal,yes,no,no,page_level_signal,https://ggbot.itch.io/ggbotnet-fonts-cc0,2026-05-27,High utility source,Game fonts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Fonts,Pick a readable UI/title font.,Home Video Font CC0,GGBotNet,font,https://ggbot.itch.io/home-video-font,CC0/public-domain signal,Title/listing says CC0,yes,no,no,page_level_signal,https://ggbot.itch.io/home-video-font,2026-05-27,Good for VHS/retro UI,Retro fonts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Fonts,Pick a readable UI/title font.,Public Pixel Font CC0,GGBotNet,font,https://ggbot.itch.io/public-pixel-font,CC0/public-domain signal,Title/listing says CC0,yes,no,no,page_level_signal,https://ggbot.itch.io/public-pixel-font,2026-05-27,High utility source,Pixel fonts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Space,"Prototype a shooter, map screen, or backdrop.",Simple Space,Kenney,2D space assets,https://kenney.nl/assets/simple-space,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/simple-space,2026-05-27,Small pack; good starter asset,Space prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Space,"Prototype a shooter, map screen, or backdrop.",2D Planet Pack 1,Screaming Brain Studios,2D planet sprites,https://screamingbrainstudios.itch.io/planetpack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/planetpack,2026-05-27,Good genre-specific row,Space prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Space,"Prototype a shooter, map screen, or backdrop.",2D Planet Pack 2,Screaming Brain Studios,2D planet sprites,https://screamingbrainstudios.itch.io/2d-planet-pack-2,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/2d-planet-pack-2,2026-05-27,Good genre-specific row,Space prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Textures,"Fill backgrounds, materials, placeholders, or particles.",Y2K Texture Pack,GGBotNet,textures,https://ggbot.itch.io/y2k-texture-pack,CC0/public-domain signal,Listing says CC0,yes,no,no,page_level_signal,https://ggbot.itch.io/y2k-texture-pack,2026-05-27,Niche texture style,Retro/Y2K textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Textures,"Fill backgrounds, materials, placeholders, or particles.",Abstract Noise Pack,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/abstract-noise-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/abstract-noise-pack,2026-05-27,Utility texture pack,Materials/shaders,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Textures,"Fill backgrounds, materials, placeholders, or particles.",Noise Texture Pack,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/noise-texture-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/noise-texture-pack,2026-05-27,Utility texture pack,Shaders/materials,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Textures,"Fill backgrounds, materials, placeholders, or particles.",Seamless Sky Backgrounds,Screaming Brain Studios,sky backgrounds,https://screamingbrainstudios.itch.io/seamless-sky-backgrounds,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/seamless-sky-backgrounds,2026-05-27,Useful for side-scrollers,Backgrounds,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Textures,"Prototype a shooter, map screen, or backdrop.",Seamless Space Backgrounds,Screaming Brain Studios,space backgrounds,https://screamingbrainstudios.itch.io/seamless-space-backgrounds,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/seamless-space-backgrounds,2026-05-27,Good niche row,Space games,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Textures,"Fill backgrounds, materials, placeholders, or particles.",Tiny Texture Pack 1,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/tiny-texture-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/tiny-texture-pack,2026-05-27,Low-res style; not universal,Retro textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Textures,"Fill backgrounds, materials, placeholders, or particles.",Tiny Texture Pack 2,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/tiny-texture-pack-2,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/tiny-texture-pack-2,2026-05-27,Low-res style; not universal,Retro textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Textures,"Fill backgrounds, materials, placeholders, or particles.",Tiny Texture Pack 3,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/tiny-texture-pack-3,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/tiny-texture-pack-3,2026-05-27,Low-res style; not universal,Retro textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Top-down,Fill a common prototype slot.,Micro Roguelike,Kenney,8x8 roguelike tiles,https://kenney.nl/assets/micro-roguelike,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/micro-roguelike,2026-05-27,Tiny style may not fit all games,Micro roguelikes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Top-down,"Build a top-down town, RPG, or exploration scene.",RPG Base,Kenney,2D RPG tiles,https://kenney.nl/assets/rpg-base,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/rpg-base,2026-05-27,Good foundation but generic,RPG prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Top-down,Fill a common prototype slot.,Roguelike Modern City,Kenney,2D city roguelike tiles,https://kenney.nl/assets/roguelike-modern-city,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/roguelike-modern-city,2026-05-27,Large file count; useful for urban prototypes,Urban roguelikes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Top-down,"Build a top-down town, RPG, or exploration scene.",Tiny Town,Kenney,16x16 town tiles,https://kenney.nl/assets/tiny-town,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/tiny-town,2026-05-27,Useful but common style,Pixel RPG towns,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Top-down,"Build a top-down town, RPG, or exploration scene.",Isometric Object Pack,Screaming Brain Studios,isometric object tiles,https://screamingbrainstudios.itch.io/isometric-object-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/isometric-object-pack,2026-05-27,Good for composed scene kits,Isometric props,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Top-down,"Build a top-down town, RPG, or exploration scene.",Isometric Tiles Floor Pack,Screaming Brain Studios,isometric floor tiles,https://screamingbrainstudios.itch.io/isotilepack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/isotilepack,2026-05-27,Good companion source,Isometric maps,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
Top-down,"Build a top-down town, RPG, or exploration scene.",Isometric Town Pack,Screaming Brain Studios,isometric town tiles,https://screamingbrainstudios.itch.io/iso-town-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/iso-town-pack,2026-05-27,Good for map-layout product ideas,Isometric towns,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
UI,"Build menus, HUD, or tutorial prompts.",Input Prompts,Kenney,2D input prompt icons,https://kenney.nl/assets/input-prompts,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/input-prompts,2026-05-27,Page-level CC0 signal found,Controller/UI prompts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
UI,Fill a common prototype slot.,Sci-Fi RTS,Kenney,2D RTS sci-fi tiles/buildings,https://kenney.nl/assets/sci-fi-rts,CC0/public-domain signal,Creative Commons CC0,yes,no,no,page_level_signal,https://kenney.nl/assets/sci-fi-rts,2026-05-27,Good genre-specific pack,RTS prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
UI,"Build menus, HUD, or tutorial prompts.",Button Pack,Screaming Brain Studios,UI buttons,https://screamingbrainstudios.itch.io/button-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/button-pack,2026-05-27,Good for UI category,Game UI,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
UI,"Fill backgrounds, materials, placeholders, or particles.",Circular Texture Pack,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/circular-texture-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/circular-texture-pack,2026-05-27,Niche but useful,UI/material textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
UI,"Fill backgrounds, materials, placeholders, or particles.",Gradient Texture Pack,Screaming Brain Studios,textures,https://screamingbrainstudios.itch.io/gradient-texture-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/gradient-texture-pack,2026-05-27,Utility texture pack,Materials/UI,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
UI,"Build menus, HUD, or tutorial prompts.",Tiny Buttons Pack,Screaming Brain Studios,UI buttons,https://screamingbrainstudios.itch.io/tiny-buttons-pack,CC0/public-domain signal,Creator profile CC0 policy,yes,no,no,creator_policy_signal,https://screamingbrainstudios.itch.io/tiny-buttons-pack,2026-05-27,Good for UI category,Pixel UI,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
