id,row_type,name,creator_or_platform,url,asset_type,license_family,license_signal,commercial_use,attribution_required,redistribution_risk,download_requires_signup,evidence_level,evidence_url,last_checked,risk_notes,best_for,public_claim
1,license_or_source_reference,Kenney Assets Index,Kenney,https://kenney.nl/assets,multi-category game assets,CC0/public-domain signal,Creative Commons CC0 via Kenney support/asset pages,yes,no,Do not use Kenney logo; link original source rather than rehosting whole catalog,no,reference_only,https://kenney.nl/assets,2026-05-27,Strong baseline source; individual pages still useful for category notes,General indie prototypes,Reference/source page; not counted as a direct asset pack.
2,license_or_source_reference,Kenney Support License FAQ,Kenney,https://kenney.nl/support,license reference,CC0/public-domain signal,All game assets on asset pages are public domain/CC0,yes,no,License reference only; not an asset pack,no,reference_only,https://kenney.nl/support,2026-05-27,Use as license evidence for Kenney rows,License evidence,Reference/source page; not counted as a direct asset pack.
3,asset_page,Abstract Platformer,Kenney,https://kenney.nl/assets/abstract-platformer,2D platformer tiles/characters,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/abstract-platformer,2026-05-27,Low risk; broad platformer category,Platformer prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
4,asset_page,Physics Assets,Kenney,https://kenney.nl/assets/physics-assets,2D physics blocks/shapes,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/physics-assets,2026-05-27,Good for puzzle/physics games,Physics prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
5,asset_page,Simple Space,Kenney,https://kenney.nl/assets/simple-space,2D space assets,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/simple-space,2026-05-27,Small pack; good starter asset,Space prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
6,asset_page,Tiny Town,Kenney,https://kenney.nl/assets/tiny-town,16x16 town tiles,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/tiny-town,2026-05-27,Useful but common style,Pixel RPG towns,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
7,asset_page,Sci-Fi RTS,Kenney,https://kenney.nl/assets/sci-fi-rts,2D RTS sci-fi tiles/buildings,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/sci-fi-rts,2026-05-27,Good genre-specific pack,RTS prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
8,asset_page,RPG Base,Kenney,https://kenney.nl/assets/rpg-base,2D RPG tiles,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/rpg-base,2026-05-27,Good foundation but generic,RPG prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
9,asset_page,Roguelike Modern City,Kenney,https://kenney.nl/assets/roguelike-modern-city,2D city roguelike tiles,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/roguelike-modern-city,2026-05-27,Large file count; useful for urban prototypes,Urban roguelikes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
10,asset_page,Micro Roguelike,Kenney,https://kenney.nl/assets/micro-roguelike,8x8 roguelike tiles,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/micro-roguelike,2026-05-27,Tiny style may not fit all games,Micro roguelikes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
11,asset_page,Pixel Platformer,Kenney,https://kenney.nl/assets/pixel-platformer,2D pixel platformer,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/pixel-platformer,2026-05-27,Useful for jams,Pixel platformers,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
12,asset_page,Platformer Art Extended Enemies,Kenney,https://kenney.nl/assets/platformer-art-extended-enemies,2D platformer enemies,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/platformer-art-extended-enemies,2026-05-27,Supplement to platformer packs,Enemy placeholders,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
13,asset_page,Input Prompts,Kenney,https://kenney.nl/assets/input-prompts,2D input prompt icons,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/input-prompts,2026-05-27,Page-level CC0 signal found,Controller/UI prompts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
14,asset_page,Factory Kit,Kenney,https://kenney.nl/assets/factory-kit,3D factory kit,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/factory-kit,2026-05-27,Page-level CC0 signal found,3D industrial scenes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
15,asset_page,Light Masks,Kenney,https://kenney.nl/assets/light-masks,2D VFX/light masks,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/light-masks,2026-05-27,Page-level CC0 signal found,Lighting/VFX,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
16,asset_page,Car Kit,Kenney,https://kenney.nl/assets/car-kit,3D cars,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/car-kit,2026-05-27,Page-level CC0 signal found,Vehicle prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
17,asset_page,Platformer Kit,Kenney,https://kenney.nl/assets/platformer-kit,3D platformer kit,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/platformer-kit,2026-05-27,Page-level CC0 signal found,3D platformers,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
18,asset_page,Cube Pets,Kenney,https://kenney.nl/assets/cube-pets,3D cube animal/pet assets,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/cube-pets,2026-05-27,Page-level CC0 signal found,Cute prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
19,asset_page,Modular Dungeon Kit,Kenney,https://kenney.nl/assets/modular-dungeon-kit,3D modular dungeon,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/modular-dungeon-kit,2026-05-27,Page-level CC0 signal found,Dungeon prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
20,asset_page,Pirate Kit,Kenney,https://kenney.nl/assets/pirate-kit,3D pirate assets,CC0/public-domain signal,Creative Commons CC0,yes,no,Redistribution allowed by CC0 but prefer source link,no,page_level_signal,https://kenney.nl/assets/pirate-kit,2026-05-27,Page-level CC0 signal found,Pirate prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
21,license_or_source_reference,Screaming Brain Studios Profile,Screaming Brain Studios,https://screamingbrainstudios.itch.io/,textures/tiles/backgrounds/tools,CC0/public-domain signal,Profile states all assets released under Public Domain CC0,yes,no,CC0 permits reuse; prefer source links and avoid implying ownership,no,reference_only,https://screamingbrainstudios.itch.io/,2026-05-27,Very strong CC0 source; old-school/procedural style,Textures and isometric assets,Reference/source page; not counted as a direct asset pack.
22,license_or_source_reference,Screaming Brain Official Site,Screaming Brain Studios,https://screamingbrainstudios.com/,source index/license reference,CC0/public-domain signal,Official site states packs are CC0/public domain,yes,no,License/reference page only,no,reference_only,https://screamingbrainstudios.com/,2026-05-27,Use as license evidence for Screaming Brain rows,License evidence,Reference/source page; not counted as a direct asset pack.
23,asset_page,Tiny Texture Pack 1,Screaming Brain Studios,https://screamingbrainstudios.itch.io/tiny-texture-pack,textures,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/tiny-texture-pack,2026-05-27,Low-res style; not universal,Retro textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
24,asset_page,Tiny Texture Pack 2,Screaming Brain Studios,https://screamingbrainstudios.itch.io/tiny-texture-pack-2,textures,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/tiny-texture-pack-2,2026-05-27,Low-res style; not universal,Retro textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
25,asset_page,Tiny Texture Pack 3,Screaming Brain Studios,https://screamingbrainstudios.itch.io/tiny-texture-pack-3,textures,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/tiny-texture-pack-3,2026-05-27,Low-res style; not universal,Retro textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
26,asset_page,Seamless Space Backgrounds,Screaming Brain Studios,https://screamingbrainstudios.itch.io/seamless-space-backgrounds,space backgrounds,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/seamless-space-backgrounds,2026-05-27,Good niche row,Space games,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
27,asset_page,Seamless Sky Backgrounds,Screaming Brain Studios,https://screamingbrainstudios.itch.io/seamless-sky-backgrounds,sky backgrounds,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/seamless-sky-backgrounds,2026-05-27,Useful for side-scrollers,Backgrounds,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
28,asset_page,Noise Texture Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/noise-texture-pack,textures,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/noise-texture-pack,2026-05-27,Utility texture pack,Shaders/materials,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
29,asset_page,Photorealistic Texture Pack 1,Screaming Brain Studios,https://screamingbrainstudios.itch.io/photorealistic-texture-pack,textures,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/photorealistic-texture-pack,2026-05-27,Check style quality per project,3D/2D textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
30,asset_page,Photorealistic Texture Pack 2,Screaming Brain Studios,https://screamingbrainstudios.itch.io/photorealistic-texture-pack-2,textures,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/photorealistic-texture-pack-2,2026-05-27,Check style quality per project,3D/2D textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
31,asset_page,Isometric Town Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/iso-town-pack,isometric town tiles,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/iso-town-pack,2026-05-27,Good for map-layout product ideas,Isometric towns,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
32,asset_page,Isometric Tiles Floor Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/isotilepack,isometric floor tiles,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/isotilepack,2026-05-27,Good companion source,Isometric maps,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
33,asset_page,Isometric Object Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/isometric-object-pack,isometric object tiles,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/isometric-object-pack,2026-05-27,Good for composed scene kits,Isometric props,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
34,asset_page,Circular Texture Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/circular-texture-pack,textures,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/circular-texture-pack,2026-05-27,Niche but useful,UI/material textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
35,asset_page,2D Planet Pack 1,Screaming Brain Studios,https://screamingbrainstudios.itch.io/planetpack,2D planet sprites,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/planetpack,2026-05-27,Good genre-specific row,Space prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
36,asset_page,2D Planet Pack 2,Screaming Brain Studios,https://screamingbrainstudios.itch.io/2d-planet-pack-2,2D planet sprites,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/2d-planet-pack-2,2026-05-27,Good genre-specific row,Space prototypes,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
37,asset_page,Gradient Texture Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/gradient-texture-pack,textures,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/gradient-texture-pack,2026-05-27,Utility texture pack,Materials/UI,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
38,asset_page,Abstract Noise Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/abstract-noise-pack,textures,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/abstract-noise-pack,2026-05-27,Utility texture pack,Materials/shaders,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
39,asset_page,Button Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/button-pack,UI buttons,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/button-pack,2026-05-27,Good for UI category,Game UI,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
40,asset_page,Tiny Buttons Pack,Screaming Brain Studios,https://screamingbrainstudios.itch.io/tiny-buttons-pack,UI buttons,CC0/public-domain signal,Creator profile CC0 policy,yes,no,CC0; link original source,no,creator_policy_signal,https://screamingbrainstudios.itch.io/tiny-buttons-pack,2026-05-27,Good for UI category,Pixel UI,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
41,license_or_source_reference,GGBotNet Profile,GGBotNet,https://ggbot.itch.io/,fonts/game assets,CC0/public-domain signal,Profile lists CC0 game assets and CC0 fonts,yes,varies by item; CC0 rows no,Do not assume every non-CC0 font row is CC0,no,reference_only,https://ggbot.itch.io/,2026-05-27,Use only rows explicitly marked CC0,Fonts and retro assets,Reference/source page; not counted as a direct asset pack.
42,asset_page,PSX Style Cars,GGBotNet,https://ggbot.itch.io/psx-style-cars,3D cars and SFX,CC0/public-domain signal,Listing says CC0/free 3D car pack,yes,no,CC0; link original source,no,page_level_signal,https://ggbot.itch.io/psx-style-cars,2026-05-27,Good PSX/retro niche,Retro 3D vehicles,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
43,asset_page,Y2K Texture Pack,GGBotNet,https://ggbot.itch.io/y2k-texture-pack,textures,CC0/public-domain signal,Listing says CC0,yes,no,CC0; link original source,no,page_level_signal,https://ggbot.itch.io/y2k-texture-pack,2026-05-27,Niche texture style,Retro/Y2K textures,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
44,asset_page,GGBotNet Fonts CC0 All-in-1,GGBotNet,https://ggbot.itch.io/ggbotnet-fonts-cc0,fonts,CC0/public-domain signal,Creative Commons Zero v1.0 Universal,yes,no,CC0; link original source,no,page_level_signal,https://ggbot.itch.io/ggbotnet-fonts-cc0,2026-05-27,High utility source,Game fonts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
45,asset_page,Home Video Font CC0,GGBotNet,https://ggbot.itch.io/home-video-font,font,CC0/public-domain signal,Title/listing says CC0,yes,no,CC0; link original source,no,page_level_signal,https://ggbot.itch.io/home-video-font,2026-05-27,Good for VHS/retro UI,Retro fonts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
46,asset_page,Public Pixel Font CC0,GGBotNet,https://ggbot.itch.io/public-pixel-font,font,CC0/public-domain signal,Title/listing says CC0,yes,no,CC0; link original source,no,page_level_signal,https://ggbot.itch.io/public-pixel-font,2026-05-27,High utility source,Pixel fonts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
47,asset_page,First Time Writing Font CC0,GGBotNet,https://ggbot.itch.io/first-time-writing-font,font,CC0/public-domain signal,Title/listing says CC0,yes,no,CC0; link original source,no,page_level_signal,https://ggbot.itch.io/first-time-writing-font,2026-05-27,Good multilingual support,Handwritten fonts,Direct asset page with commercial-use/CC0 license signal; verify before shipping.
48,discovery_pool,itch.io Free CC0 Game Assets Directory,itch.io,https://itch.io/game-assets/free/tag-cc0,directory,CC0/public-domain signal,Directory filtered by free and cc0 tag,yes,depends on individual page,Do not trust directory tag alone; verify item page,no,discovery_only,https://itch.io/game-assets/free/tag-cc0,2026-05-27,Good discovery source but requires page-level audit,Source discovery,Discovery pool; each item needs page-level review.
49,discovery_pool,itch.io Top Rated Free CC0 Game Assets,itch.io,https://itch.io/game-assets/top-rated/free/tag-cc0,directory,CC0/public-domain signal,Directory filtered by top-rated/free/cc0,yes,depends on individual page,Do not trust directory tag alone; verify item page,no,discovery_only,https://itch.io/game-assets/top-rated/free/tag-cc0,2026-05-27,Better quality discovery pool,Source discovery,Discovery pool; each item needs page-level review.
50,discovery_pool,OpenGameArt,OpenGameArt,https://opengameart.org/,multi-category game assets,CC0/public-domain signal,Per-asset license shown on each page; CC0/CC BY rows can be commercial-friendly,yes for CC0/CC BY,no for CC0; yes for CC BY,Do not include GPL/SA/unclear rows without separate notes,optional account for some actions,discovery_only,https://opengameart.org/,2026-05-27,Excellent pool but every row must be checked individually,Source discovery,Discovery pool; each item needs page-level review.
